Category,Name,Method,URI,Input,Response,Normal Response Code,Error Response Code,Description,Remark,,GET
,Resize server,POST,/v2/?{tenant_id}?/servers/?{server_id}?/action,"tenant_id
server_id
server_resize_flavorRef",,202,500/400/401/403/405/413/503/404/409,Resizes the specified server. Specify the resize action in the request body.,,,GET
,Confirm resized server,POST,/v2/?{tenant_id}?/servers/?{server_id}?/action,"tenant_id
server_id
server_confirmResize",,202,500/400/401/403/405/413/503/404/409,Confirms a pending resize action. Specify the confirmResize action in the request body.,,,/v2/?{tenant_id}?/servers
,Revert resized server,POST,/v2/?{tenant_id}?/servers/?{server_id}?/action,"tenant_id
server_id
server_revertResize",,202,500/400/401/403/405/413/503/404/409,Cancels and reverts a pending resize action. Specify the revertResize action in the request body.,,,List servers
,Create image,POST,/v2/?{tenant_id}?/servers/?{server_id}?/action,"tenant_id
server_id
image_name
createImage
image_metadata","location
server_name
server_metadata",202,500/400/401/403/405/413/503/404/409,Creates an image. Specify the createImage action in the request body.,,,
Flavors,List flavors,GET,/v2/?{tenant_id}?/flavors,"tenant_id
flavor_minDisk (Optional)
flavor_minRam (Optional)
flavor_limit (Optional)
flavor_marker (Optional)","X-Compute-Request-ID (Optional)
flavors
next (Optional)
previous (Optional)
flavor_id
flavor_links
flavor_name",200/203,500/400/401/403/405/413/503/404,"Lists IDs, names, and links for available flavors.",,,"Lists IDs, names, and links for all servers."
,List details for flavors,GET,/v2/?{tenant_id}?/flavors/detail,"tenant_id
flavor_minDisk (Optional)
flavor_minRam (Optional)
flavor_limit (Optional)
flavor_marker (Optional)","X-Compute-Request-ID (Optional)
flavors
next (Optional)
previous (Optional)
flavor_id
flavor_links
flavor_name",200/203,500/400/401/403/405/413/503/404,Lists all details for available flavors.,,,
,Get flavor details,GET,/v2/?{tenant_id}?/flavors/?{flavor_id}?,"tenant_id
server_id","X-Compute-Request-ID (Optional)
flavor_disk
flavor_id
flavor_links
flavor_name
flavor_ram
flavor_vcpus",200/203,500/400/401/403/405/413/503/404,Gets details for a specified flavor.,,,
Images,List images,GET,/v2/?{tenant_id}?/images,"tenant_id
changes-since (Optional)
server_name (Optional)
image_name (Optional)
image_status (Optional)
image_type (Optional)
","X-Compute-Request-ID (Optional)
images
next (Optional)
previous (Optional)
image_id
image_links
image_name",200/203,500/400/401/403/405/413/503/404,"Lists IDs, names, and links for available images.",,,POST
,List images details,GET,/v2/?{tenant_id}?/images/detail,"tenant_id
changes-since (Optional)
server_name (Optional)
image_name (Optional)
image_status (Optional)
image_type (Optional)
","X-Compute-Request-ID (Optional)
images
next (Optional)
previous (Optional)
image_id
image_links
image_name
image_created
image_metadata
image_minDisk
image_minRam
image_progress
image_status
image_updated",200/203,500/400/401/403/405/413/503/404,Lists all details for available images.,,,/v2/?{tenant_id}?/servers
,Get image details,GET,/v2/?{tenant_id}?/images/?{image_id}?,"tenant_id
image_id","X-Compute-Request-ID (Optional)
images
next (Optional)
previous (Optional)
image_id
image_links
image_name
image_created
image_metadata
image_minDisk
image_minRam
image_progress
image_status
image_updated",200/203,500/400/401/403/405/413/503/404,Gets details for a specified image.,,,Create server
,Delete image,DELETE,/v2/?{tenant_id}?/images/?{image_id}?,"tenant_id
image_id",,204,500/400/401/403/405/413/503/404,Deletes a specified image.,,,
Image metadata,Show image metadata,GET,/v2/?{tenant_id}?/images/?{image_id}?/metadata,"tenant_id
image_id","X-Compute-Request-ID (Optional)
next (Optional)
previous (Optional)
image_metadata",200/203,500/400/401/403/405/413/503/404,Shows metadata for a specified image.,,,Creates a server.
